coffee-machine,kettle,dishwasher,washing-machine,clothes-dryer,fridge,freezer,air-conditioner,microwave,vacuum-cleaner,computer-tablet,computer-desktop,computer-accessory,computer-laptop,computer-auto,printer,telecom,telecom-mobile,remote-control,portable-audio-video,speaker,hi-fi,musical-instrument,set-top-box,camera,flatpanel-screen,lighting,power-tool,lawnmower,garden-machine,shredder,gaming-console,sport-exercise,gaming-portable,sewing-machine,projector,toaster,watch-clock,hairdryer,charger-adapter,headphone,iron,food-processor,small-kitchen,small-domestic,heater,personal-grooming,personal-hygiene,personal-medical,toy
,,,,,,,,,,,,hdd,,,,,,,,,haute[ -]?parleurs?,,pvr,,,scheinwerfer,hefter,,,,,,,,,,,,(trans|[oø]m)form(er|ateur|ator)?,,,jus,griddle,sabell,,iron,,,praat
,,,,,,,,,,,,hub,,,,,,,,,joueur,,re[ck]ord(er)?,,,solar,hobel,,,,,,,,,,,,verl[eä]ng([i|eru]ng)?,,,grater?,grille?,schreib,,knipper,,,rc [a-zß-ÿœ]+
,,,,,,,,,,,,leiterplatte,,,,,,,,,karaoke,,receiver,,,stoorts,jet\b,,,,,,,,,,,,str[øo]m,,,chopper,hob,sharpen(er|ing),,kronkel,,,reden
,,,,,,,,,,,,mainboard,,,,,,,,,mischpult,,speler,,,torch,k[aä]rs?[sc]her,,,,,,,,,,,,stikdåse,,,trancheuse,ice[ -]?(cube)?,slijper,,krullend,,,remote control(led)?
,,,,,,,,,,,,maus,,,,,,,,,ontvanger,,syst[èe]+me?,,,,kante,,,,,,,,,,,,fiche,,,whisk,indu[ck]tion,sonette,,lisseurs?,,,robot(ic)?
,,,,,,,,,,,,middelpunt,,,,,,,,,plakband,,th[eé][âa]t[er][re],,,,laubbläser,,,,,,,,,,,,genopladlig,,,,k[o]+k,sprechanlage,,locken,,,sing(en|ing)
,,,,,,,,,,,,mi[ck]ro(f|ph)one?,,,,,,,,,plaque tournante,,,,,,laveuse,,,,,,,,,,,,forlænger,,,,koch(er)?,staple(r|ing),,locken(stab)?,,,speelgoed
,,,,,,,,,,,,modem,,,,,,,,,plattenspieler,,,,,,lötkolben,,,,,,,,,,,,ladeledning,,,,küchen,steuergerät,,manikür,,,spel
,,,,,,,,,,,,mouse,,,,,,,,,player,,,,,,m[eé]u?l[aeusngr]+,,,,,,,,,,,,lader,,,,lait,thermostat,,massager?,,,spielzeug
,,,,,,,,,,,,moyeu,,,,,,,,,re[ck]ord(er)?,,,,,,marteau,,,,,,,,,,,,ledning,,,,melkopschuimer,türsprechanlage,,masseur,,,talking
,,,,,,,,,,,,muis,,,,,,,,,receiver,,,,,,mas?chine,,,,,,,,,,,,ladegerät,,,,milchaufschäumer,,,mirror,,,teddybär
,,,,,,,,,,,,oplader,,,,,,,,,spi?eler,,,,,,mi(x|sch)er,,,,,,,,,,,,g[ée]n[eé]rat(eur|or),,,,moulin,,,mund ,,,télécommande
,,,,,,,,,,,,pavé tactile,,,,,,,,,spulenton ,,,,,,molen,,,,,,,,,,,,onduleur,,,,mousseur,,,n[aä]gel,,,toy
,,,,,,,,,,,,re[ck]order,,,,,,,,,tape,,,,,,mühle,,,,,,,,,,,,,,,,o[vf]en,,,nail,,,tr[ae]in
,,,,,,,,,,,,routeu?r,,,,,,,,,tieftöner,,,,,,multi,,,,,,,,,,,,,,,,p[ou]mpe?,,,personenwaage,,,voiture
,,,,,,,,,,,,schijf,,,,,,,,,tuner,,,,,,nettoyeur,,,,,,,,,,,,,,,,pai?n,,,pinces,,,zang
,,,,,,,,,,,,souris,,,,,,,,,turntable,,,,,,oefening,,,,,,,,,,,,,,,,pan\b,,,ra[sz][eo]i?r,,,zweven
,,,,,,,,,,,,speakers?,,,,,,,,,verst[eäa]rker,,,,,,p[ou]mpe?,,,,,,,,,,,,,,,,patisserie,,,rasier(er)?,,,
,,,,,,,,,,,,spre[kc]h?ers?,,,,,,,,,woofer,,,,,,paint,,,,,,,,,,,,,,,,raclette,,,s[éèe]ch(e|oir),,,
,,,,,,,,,,,,ssd,,,,,,,,,,,,,,,perceuse,,,,,,,,,,,,,,,,reibe,,,scheer,,,
,,,,,,,,,,,,tastatur,,,,,,,,,,,,,,,pinzette,,,,,,,,,,,,,,,,reis,,,shaver?,,,
,,,,,,,,,,,,touch[ -]?pad,,,,,,,,,,,,,,,pist[o]+le?t?,,,,,,,,,,,,,,,,robot,,,stijltang(en)?,,,
,,,,,,,,,,,,track[ -]?pad,,,,,,,,,,,,,,,ponceuse,,,,,,,,,,,,,,,,scales?,,,stimulator,,,
,,,,,,,,,,,,usb,,,,,,,,,,,,,,,pressure,,,,,,,,,,,,,,,,schäumer,,,straighteners?,,,
,,,,,,,,,,,,web[ -]?cam,,,,,,,,,,,,,,,pulv[ée]risateur,,,,,,,,,,,,,,,,schneide,,,styleu?r?,,,
