product_category,product
Iron,Centrale à vapeur
Iron,Fer à repasser
Iron,fer à repasser à vapeur
Iron,Iron
Iron,plancha
Iron,Steam iron / Steam ironing station
Kettle,Electric kettle
Kettle,Kettle
Kettle,Wasserkocher
Lamp,Bicycle lighting
Lamp,Ceiling lamp
Lamp,Desk lamp
Lamp,Floor lamp
Lamp,Lamp
Lamp,Lamp / lighting
Lamp,Lamp/lighting
Lamp,Lampe
Lamp,Magnifier with light
Lamp,Night light
Lamp,Outdoor lamp
Lamp,Reading light
Lamp,Solar lamp
Lamp,Stehleuchte
Lamp,Table lamp
Lamp,Tischlampe
Laptop,Laptop
Laptop,Laptop large
Laptop,Laptop medium
Laptop,Laptop small
Large home electrical,Carpet cleaner
Large home electrical,E-bike
Large home electrical,Edge cutter
Large home electrical,Electric bed
Large home electrical,Electric bike
Large home electrical,Electric lawnmower
Large home electrical,Extractor hood
Large home electrical,Fitness machine
Large home electrical,Fridge
Large home electrical,Kühlschrank
Large home electrical,Lawn edge cutter
Large home electrical,Lawn Mower
Large home electrical,Lawn mower / lawn raker
Large home electrical,Lawnmower
Large home electrical,Microwave
Large home electrical,Microwave oven
Large home electrical,Mikrowelle
Large home electrical,Mobility scooter
Large home electrical,Mop machine
Large home electrical,Oil filled radiator
Large home electrical,Oven
Large home electrical,radiateur électrique
Large home electrical,Scarifier
Large home electrical,Spülmaschine
Large home electrical,Steam cleaner
Large home electrical,Stove
Large home electrical,sèche linge
Large home electrical,tondeuse à gazon
Large home electrical,Tumble dryer
Large home electrical,Upright vacuum cleaner
Large home electrical,Waschmaschine
Large home electrical,Washing machine
Misc,Barometer
Misc,Beamer
Misc,Beer tap
Misc,Cable reel
Misc,Calculator
Misc,Car key
Misc,Drying hood
Misc,Film device
Misc,Garten
Misc,Gourmet set
Misc,Hearing aid
Misc,"Kamera, analog"
Misc,Lighter
Misc,Misc
Misc,Multitool
Misc,Other
Misc,Sonstiges
Misc,Suitcase gramophone
Misc,Tauchpumpe
Misc,Telephone
Misc,Telephone (not mobile or smartphone)
Misc,Thermometer
Misc,Trotinette électrique
Misc,trottinette électrique
Mobile,Handy
Mobile,Mobile
Mobile,Mobile phone / cell phone (not smartphone)
Mobile,Mobiltelefon
Mobile,Smartphone
Mobile,i-phone
Mobile,iPhone
Musical instrument,Electric guitar
Musical instrument,Electric piano
Musical instrument,Guitar pedal
Musical instrument,Keyboard
Musical instrument,Keyboard (musical instrument)
Musical instrument,Musical instrument
Musical instrument,Musikinstrument
Musical instrument,Spieluhr
Paper shredder,Aktenvernichter
Paper shredder,Paper shredder
Paper shredder,Papierschredderer
Paper shredder,Schredder
Paper shredder,Shredder
PC accessory,Audiorecorder
PC accessory,Cable
PC accessory,Charger
PC accessory,Computer mouse
PC accessory,Computermaus
PC accessory,Cord
PC accessory,Diktiergerät
PC accessory,Extension cord
PC accessory,External hard drive
PC accessory,Festplatte
PC accessory,Hard disk
PC accessory,Hard disk drive
PC accessory,Keyboard
PC accessory,Mouse
PC accessory,PC accessory
PC accessory,Power supply
PC accessory,Router
PC accessory,Souris
PC accessory,Speaker
PC accessory,Tastatur
PC accessory,Touchpad / trackpad
Portable radio,Alarm clock radio
Portable radio,Autoradio
Portable radio,CD-Radio
Portable radio,Clock Radio
Portable radio,DAB radio
Portable radio,DAB+ radio
Portable radio,DAB-Radio
Portable radio,Funkgerät Walkie Talkie
Portable radio,Portable radio
Portable radio,Radio
Portable radio,Radio / tape recorder
Portable radio,Radio/CD player
Portable radio,Radiorecorder
Portable radio,Radiowecker
Portable radio,Röhren-Radio
Power tool,Air compressor
Power tool,Akkuschrauber
Power tool,Angle Grinder
Power tool,Angle grinder / Disc cutter
Power tool,Belt sander
Power tool,Bohrhammer
Power tool,Bohrmaschine
Power tool,Broyeur branches
Power tool,Chainsaw
Power tool,Circular saw
Power tool,Coupe bordure
Power tool,Coupe-bordure
Power tool,Cut off saw
Power tool,Cutting machine
Power tool,Disqueuse
Power tool,Dremel tool
Power tool,Drill
Power tool,Drilling machine
Power tool,Drilling machine / Power drill
Power tool,débrousailleuse
Power tool,Electric Drill
Power tool,Electric hedge trimmer
Power tool,Electric saw
Power tool,Electric screwdriver
Power tool,Flex
Power tool,Foreuse
Power tool,Garden Strimmer
Power tool,Glue gun
Power tool,Grass trimmer
Power tool,Grinder
Power tool,Hammer blow drill
Power tool,Hammer drill
Power tool,Hand drill
Power tool,Heckenschere
Power tool,Hedge shear / hedge trimmer
Power tool,Hedge trimmer
Power tool,Hochdruckreiniger
Power tool,Jigsaw
Power tool,Jigsaw tool
Power tool,Karcher
Power tool,Kettensäge
Power tool,Kreissäge
Power tool,Lawnmower
Power tool,Leaf blower
Power tool,Milling cutter
Power tool,Nail milling machine
Power tool,Nettoyeur haute pression
Power tool,Paint burner
Power tool,Perceuse
Power tool,Ponceuse
Power tool,ponceuse plate
Power tool,Power tool
Power tool,Pressure washer
Power tool,Rasentrimmer
Power tool,Saber saw / reciprocating saw
Power tool,Sander
Power tool,Sawing machine
Power tool,Schleifer
Power tool,scie circulaire
Power tool,scie sauteuse
Power tool,Screw drill
Power tool,Screwdriver
Power tool,souffleur de feuilles
Power tool,Stichsäge
Power tool,Straight grinder
Power tool,Strimmer
Power tool,Taille haie
Power tool,taille-haie
Power tool,Tronçonneuse
Power tool,visseuse
Power tool,Water blaster / High-pressure cleaner
Power tool,Water blaster / High-pressure cleaner / Jet washer
Power tool,Werkzeug
Power tool,Window washer
Power tool,Winkelschleifer
Printer/scanner,Copier
Printer/scanner,Drucker
Printer/scanner,Faxgerät
Printer/scanner,Printer
Printer/scanner,Printer / scanner
Printer/scanner,Printer/scanner
Projector,Beamer
Projector,Film projector
Projector,Projector
Projector,Projektor
Projector,Video projector
Sewing machine,Bag sewing machine
Sewing machine,Machine à coudre
Sewing machine,Nähmaschine
Sewing machine,Overlock machine
Sewing machine,Sewing machine
Small home electrical,Air pump
Small home electrical,Baby monitor
Small home electrical,Babyphone
Small home electrical,Battery
Small home electrical,Blood pressure monitor
Small home electrical,Blutdruckmessgerät
Small home electrical,Bügelstation
Small home electrical,Calculator
Small home electrical,Centrifuge
Small home electrical,Clipper / trimmer
Small home electrical,Controller
Small home electrical,Dampfbügeleisen
Small home electrical,Dampfreiniger
Small home electrical,Digital photo frame
Small home electrical,Dimmer
Small home electrical,Doorbell
Small home electrical,Electric blanket
Small home electrical,Electric fireplace / decorative fireplace
Small home electrical,Electric Heater
Small home electrical,Electric heater / radiator
Small home electrical,Electric pencil sharpener
Small home electrical,Electric stapler
Small home electrical,Electric window wiper
Small home electrical,Fan heater
Small home electrical,Fensterreiniger
Small home electrical,Heater
Small home electrical,Heating element
Small home electrical,Heating pad / heat cushion
Small home electrical,Heizdecke / Heizkissen
Small home electrical,Heizlüfter
Small home electrical,Heizung
Small home electrical,Kabel
Small home electrical,Kabeltrommel
Small home electrical,Karaokeset
Small home electrical,Kühlbox
Small home electrical,Laminator
Small home electrical,Laminiergerät
Small home electrical,Messgerät
Small home electrical,Microphone
Small home electrical,Multimeter
Small home electrical,pencil sharpener
Small home electrical,Personal scales
Small home electrical,Polisher
Small home electrical,Pompe eau
Small home electrical,Pond pump
Small home electrical,Pruning shears / Garden shears
Small home electrical,pèse-personne
Small home electrical,Radiant heater
Small home electrical,rallonge électrique
Small home electrical,Rasenmäher
