air-conditioner,camera,charger-adapter,clothes-dryer,coffee-machine,computer-accessory,computer-auto,computer-desktop,computer-laptop,computer-tablet,dishwasher,flatpanel-screen,food-processor,freezer,fridge,gaming-console,gaming-portable,garden-machine,hairdryer,headphone,heater,hi-fi,iron,kettle,lawnmower,lighting,microwave,musical-instrument,personal-grooming,personal-hygiene,personal-medical,portable-audio-video,power-tool,printer,projector,remote-control,set-top-box,sewing-machine,shredder,small-domestic,small-kitchen,speaker,sport-exercise,steam-cleaner,telecom,telecom-mobile,toaster,toy,vacuum-cleaner,washing-machine,watch-clock
,,prise,,,mi[ck]ro(f|ph)one?,,,,,,,shre[d]+er,,,,,,,,,multi[= ]?media,,,,veilleuse,,,knipper,,saturator,,grind(er|ing),,,,th[eé][âa]t[er][re],,,laminat[eo]u?r,cutter,,,,,,,mu[sz]i[ck]([a]+l)?,,,
,,socket,,,modem,,,,,,,slic(er|ing),,,,,,,,,ontvanger,,,,,,,krøllejern,,stimulat(o|eu)r,,grubber,,,,video,,,laminiergerät,d[ée](s|-)?h?ydrat(o|eu)r,,,,,,,pop,,,
,,solcelle,,,moyeu,,,,,,,smoothie,,,,,,,,,op(tagere?|name),,,,,,,kronkel,,,,gulvvasker,,,,set[- ]?top,,,messgerät,dampf,,,,,,,poupée,,,
,,steck,,,pavé tactile,,,,,,,trancheuse,,,,,,,,,plade[- ]?spiller,,,,,,,krullend,,,,gun,,,,,,,met[ea]l[- ]?dete[ck]t[eo]r,dörrgerät,,,,,,,praat,,,
,,stikdåse,,,re[ck]order,,,,,,,keffekværn,,,,,,,,,plakband,,,,,,,lisseurs?,,,,ha[m]+er,,,,,,,nietje,eier,,,,,,,rc [a-zß-ÿœ]+,,,
,,stopcontact,,,routeu?r,,,,,,,nutri[- ]?bu[l]+et,,,,,,,,,plaque tournante,,,,,,,locken,,,,hecke,,,,,,,plastifieuse,elkoger,,,,,,,reden,,,
,,str[øo]m,,,tastatur,,,,,,,,,,,,,,,,platten[- ]?spieler,,,,,,,locken(stab)?,,,,hefter,,,,,,,r[øo]g[- ]?maskine,f+r[yi](er|et|teuse|tte),,,,,,,remote control(led)?,,,
,,stroom,,,web[ -]?cam,,,,,,,,,,,,,,,,player,,,,,,,ma[s]+(ager?|eu?r),,,,hobel,,,,,,,reiniger,foamer,,,,,,,robot(ic)?,,,
,,verl[eä]ng([i|eru]ng)?,,,wi[ -]?fi,,,,,,,,,,,,,,,,re[ck]ord(er)?,,,,,,,manikür,,,,højtryk,,,,,,,sabell,food dehydrator,,,,,,,schommelpaard,,,
,,surge,,,wireless,,,,,,,,,,,,,,,,receiver,,,,,,,mirror,,,,jet\b,,,,,,,scales?,four,,,,,,,speelgoed,,,
,,,,,,,,,,,,,,,,,,,,,spi?eler,,,,,,,mund ,,,,k[aä]rs?[sc]her,,,,,,,schreib,frothi?er,,,,,,,spel,,,
,,,,,,,,,,,,,,,,,,,,,spulenton ,,,,,,,n[aä]gel,,,,kædesav,,,,,,,sharpen(er|ing),gau[f]+r?i?er?,,,,,,,spielzeug,,,
,,,,,,,,,,,,,,,,,,,,,stereo,,,,,,,nail,,,,kante,,,,,,,skrivemaskine,glaci[èe]re?,,,,,,,t[eé]l[eé]guidé,,,
,,,,,,,,,,,,,,,,,,,,,systee?m,,,,,,,øjnevippebukker,,,,laser,,,,,,,slijper,gourmet,,,,,,,teddy,,,
,,,,,,,,,,,,,,,,,,,,,tape,,,,,,,personenwaage,,,,lathe,,,,,,,so[n]+ette,griddle,,,,,,,tøj,,,
,,,,,,,,,,,,,,,,,,,,,tieftöner,,,,,,,pinces,,,,laubbläser,,,,,,,sprechanlage,grille?,,,,,,,toy,,,
,,,,,,,,,,,,,,,,,,,,,tuner,,,,,,,ra[sz][eo]i?[ro],,,,laveuse,,,,,,,staple(r|ing),hachoir,,,,,,,voiture,,,
,,,,,,,,,,,,,,,,,,,,,turn[- ]?table,,,,,,,rasier(er)?,,,,lisseuse,,,,,,,steuergerät,halogen,,,,,,,walkie[- ]?talkie,,,
,,,,,,,,,,,,,,,,,,,,,verst[eäa]rker,,,,,,,s[éèe]ch(e|oir),,,,lötkolben,,,,,,,thermostat,heating plate,,,,,,,zang,,,
,,,,,,,,,,,,,,,,,,,,,woofer,,,,,,,scheer,,,,m[eé]u?l[aeusngr]+,,,,,,,türsprechanlage,hob,,,,,,,zweven,,,
,,,,,,,,,,,,,,,,,,,,,equali[sz]er,,,,,,,shaver?,,,,marteau,,,,,,,typewriter,ice[ -]?(cube)?,,,,,,,[ck]opter,,,
,,,,,,,,,,,,,,,,,,,,,basse?,,,,,,,spejl,,,,mas?(ch|k)ine,,,,,,,vifte,indu[ck]tion,,,,,,,joy[- ]?(stick|pad),,,
,,,,,,,,,,,,,,,,,,,,,phonograph,,,,,,,stijltang(en)?,,,,mi(x|sch)er,,,,,,,scarifi(cat)?eu?r,k[o]+k,,,,,,,racing,,,
,,,,,,,,,,,,,,,,,,,,,platine vinyle?,,,,,,,stimulator,,,,molen,,,,,,,vertikutierer,knive,,,,,,,track,,,
,,,,,,,,,,,,,,,,,,,,,spulentonb[aå]nd(gerät)?,,,,,,,strai(gh)?teners?,,,,motorsav,,,,,,,,koch(er)?,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,styleu?r?,,,,mühle,,,,,,,,køkkenmaskine,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,tondeuse,,,,multi,,,,,,,,küchen,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,tongs?,,,,nettoyeur,,,,,,,,(m[ie]lk|lait|mælke),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,trimmer?,,,,p[io]nceuse,,,,,,,,s(kum|chui)mer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,visage,,,,p[ou]mpe?,,,,,,,,mijoteuse,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,voet,,,,paint,,,,,,,,mousseur,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,podiatry?,,,,perc(ut)?euse,,,,,,,,o[vf]e?n,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunbed,,,,pinzette,,,,,,,,p[ou]mpe?,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pist[o]+le?t?,,,,,,,,pai?n,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polermaskine,,,,,,,,pan\b,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pressure,,,,,,,,patisserie,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pulv[ée]risateur,,,,,,,,peberkværn,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rasentrimmer,,,,,,,,plaque,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reiniger,,,,,,,,raclette,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,router,,,,,,,,reibe,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rystepudser,,,,,,,,reis,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s[aæ][wvh],,,,,,,,robot,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,säge,,,,,,,,scales?,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sander,,,,,,,,schäumer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sauger,,,,,,,,schneide,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schaar,,,,,,,,schuimer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schere,,,,,,,,soda,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schleif[a-zß-ÿœ]+,,,,,,,,sorbétière,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schneide,,,,,,,,soupe?,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schraub[a-zß-ÿœ]+,,,,,,,,sous[ -]?vide,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schroevendraaier,,,,,,,,st[ée]rili[zs](er|ateur),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schweißer,,,,,,,,steamer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sci[eé],,,,,,,,waage,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shredder,,,,,,,,wassersprudler,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skrue,,,,,,,,weegschaal,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slibe,,,,,,,,wok,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slicer,,,,,,,,ya?ourth?i[èe]re,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slijpschijf,,,,,,,,[yj]ogh?urt,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snijder,,,,,,,,zerkleinerer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,souffleur,,,,,,,,insta(nt)?[- ]?pot,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sprayer,,,,,,,,peeler,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sprüh,,,,,,,,pétrin,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tampon,,,,,,,,taque,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tournevis,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transformator,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tron[çc]o[n]+euse,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,turbine,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visseuse,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitres?,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wandler,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,washer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wechselrichter,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,werkzeug,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zaag,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zentrifuge,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planer?,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raboteuse,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slagnøgle,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trykspooler,,,,,,,,,,,,,,,,,,
